threshold_p,n_clusters,LCC_id,LCC_size
5,770,282,23
6,824,53,27
7,850,52,40
8,842,57,40
9,819,66,40
10,771,54,60
11,736,55,61
12,704,56,61
13,649,58,63
14,614,61,79
15,573,62,80
16,535,37,85
17,501,27,110
18,468,26,144
19,438,26,144
20,406,2,159
21,371,2,182
22,338,2,264
23,320,2,268
24,299,2,277
25,271,17,397
26,251,2,786
27,229,2,876
28,214,2,902
29,198,2,919
30,183,2,1170
31,164,2,1171
32,146,4,1236
33,133,2,2576
34,119,2,2696
35,109,2,2833
36,98,1,3192
37,79,1,3489
38,72,1,3516
39,64,0,3681
40,58,0,3704
41,56,0,3730
42,49,0,3797
43,47,0,3802
44,39,0,3894
45,38,0,3900
46,35,0,3922
47,34,0,3959
48,31,0,3988
49,27,0,4003
50,26,0,4006
51,25,0,4009
52,24,0,4043
53,22,0,4048
54,18,0,4176
55,17,0,4189
56,17,0,4190
57,17,0,4190
58,16,0,4192
59,16,0,4193
60,13,0,4379
61,12,0,4381
62,12,0,4382
63,12,0,4383
64,12,0,4384
65,12,0,4384
66,11,0,4395
67,10,0,4398
68,10,0,4398
69,9,0,4400
70,9,0,4400
71,9,0,4400
72,8,0,4400
73,8,0,4400
74,8,0,4402
75,8,0,4403
76,7,0,4406
77,7,0,4406
78,6,0,4412
79,5,0,4507
80,3,0,4517
81,2,0,4519
82,2,0,4519
83,2,0,4519
84,1,0,4530
85,1,0,4530
86,1,0,4530
87,1,0,4530
88,1,0,4530
89,1,0,4530
90,1,0,4530
91,1,0,4530
92,1,0,4530
93,1,0,4530
94,1,0,4530
95,1,0,4530
96,1,0,4530
97,1,0,4530
98,1,0,4530
99,1,0,4530
100,1,0,4530
